What is the primary focus of 'survival analysis' in medical statistics?,"It focuses on the time until a specific event occurs, such as death or recurrence of disease."
Which statistical package feature is essential for calculating follow-up times in longitudinal studies?,"The ability to manipulate and calculate the difference between dates (e.g., exitdate - startdate)."
"If $S(t) = 0.8$ at one year, what is the cumulative hazard $H(t)$ at that time?",$H(t) = -\log(0.8) \approx 0.223$.
What is the degrees of freedom for a log rank test comparing two groups?,One ($1$).
"In survival data, 'ties' refer to what occurrence?",When more than one individual experiences the event of interest at exactly the same time.
The _____ axis in survival analysis defines which subjects are included in the risk sets at each event time.,time
How does the 'hazard' differ from 'risk' in longitudinal studies?,"Hazard is a rate (events per unit time), while risk is a probability (proportion experiencing event in a period)."
Formula: Life Expectancy from a Life Table,Life expectancy $= 0.5 + \sum (\text{length of interval} \times \text{cumulative chance of survival})$.
What happens to the denominator $n_t$ in Kaplan–Meier as time progresses?,It decreases as individuals either experience the event or are censored.
"When a survival curve reaches $0$, what does it imply about the study population?",Every individual in the study has experienced the event of interest.
A hazard ratio of $2.5$ for a treatment means the treatment group experiences the event _____ times as fast as the control group.,$2.5$
What is 'delayed entry' (left truncation) in survival analysis?,When subjects do not become 'at risk' or join the risk sets until some time after the study's time origin.
