"In medical statistics, what is an 'exposure variable'?","A variable that influences disease outcomes, such as a risk factor or a medical treatment."
"In meta-analysis, what is the 'fixed-effect model' assumption?",The assumption that the true treatment effect is the same in every study.
"In meta-analysis, what is the 'random-effects model' assumption?",The assumption that the true study effects vary and the analysis estimates the mean of these effects.
What is a 'funnel plot' used to detect in meta-analysis?,Asymmetry that may indicate publication bias or other systematic errors.
What is a 'systematic review'?,"A systematic assembly, critical appraisal, and synthesis of all relevant studies on a specific topic."
Define 'frequentist statistical inference'.,An approach where probability is defined as the proportion of times an event would occur in repeated trials.
Define 'Bayesian statistical inference'.,An approach where probability represents a degree of belief in an hypothesis or event occurrence.
"In Bayesian statistics, what is a 'prior probability'?",The probability assigned to an hypothesis before new data is collected.
"In Bayesian statistics, what is a 'posterior probability'?",The probability distribution for a parameter derived from both the data and the prior distribution.
A 95% _____ interval is the Bayesian equivalent to a Frequentist 95% confidence interval.,credible
What is 'collinearity' in regression modelling?,A problem occurring when exposure and/or confounding variables are highly correlated with each other.
What is 'regression to the mean'?,The phenomenon where repeat measurements tend to be closer to the overall average than the initial measurements.
How is 'sensitivity' defined in diagnostic testing?,The ability of a test to correctly identify those with the disease.
How is 'specificity' defined in diagnostic testing?,The ability of a test to correctly identify those without the disease.
What does the 'Kappa statistic' measure?,"The extent of reproducibility or agreement for categorical variables, beyond what is expected by chance."
What does the 'intraclass correlation coefficient' (ICC) assess?,The reliability and reproducibility of numerical measurements.
What is 'informative censoring' in survival analysis?,A situation where the probability of being censored is related to the probability of the event of interest occurring.
What is a 'Kaplan-Meier estimate'?,An estimate of the survival function from life-table data using exact failure and censoring times.
"In diagnostic reasoning, if a symptom makes a diagnosis 'impossible', what is the resulting combined vote for that diagnosis?","The diagnosis is ruled out, regardless of other 'likely' symptoms."
What is 'interaction' (or effect modification) in statistics?,When the effect of an exposure on an outcome varies depending on the level of another variable.
Why should variables on the 'causal pathway' between exposure and outcome not be adjusted for in standard models?,Adjustment would lead to an underestimate of the true total effect of the exposure on the outcome.
Define 'prevalence' in epidemiology.,The total number of existing cases in a population at a particular point in time.
Define 'cumulative incidence' (risk).,The probability that a disease event occurs during a specified period of time among those initially disease-free.
What is 'standard error' (SE)?,A measure of the inherent variation between individuals that reflects the precision of a sample estimate.
What is the 'power' of a statistical test?,The probability of correctly rejecting the null hypothesis when it is indeed false.
What is a 'Type I error'?,Rejecting the null hypothesis when it is actually true (a false positive).
What is a 'Type II error'?,Failing to reject the null hypothesis when it is actually false (a false negative).
"In survival analysis, what is the 'hazard ratio'?",The ratio of the hazards (instantaneous rates) between different exposure groups.
What is 'multivariable regression'?,A model that studies how an outcome variable is related to two or more exposure variables.
What is 'multivariate analysis' in the strict statistical sense?,The study of how several outcome variables vary together.
Define 'efficacy' in the context of a medical intervention.,The reduction in the risk of the outcome event provided by the treatment.
What is 'regression dilution bias'?,The underestimation of an association between an outcome and exposure due to measurement error in the exposure.
"In a case-control study, why can 'risk differences' and 'risk ratios' generally not be derived?","Because the controls represent an unknown fraction of the whole population, making absolute risk estimation impossible."
What is 'data-dredging'?,Searching through data for any possible associations without a specific $a$ $priori$ hypothesis.
What does a 'causal Bayesian network' support in biomedical research?,"Causal modelling and the discovery of knowledge from large, complex biomedical datasets."
"In a cross-over trial, what is the primary advantage of the design?","Each patient acts as their own control, matching treatment and control outcomes within the same individual."
What is the main focus of 'evidence-based medicine' (EBM)?,Appraising evidence of average treatment effects to judge relevance for the management of a particular patient.
"In a diagnostic rule 'If $A$, then $x$ likely', what does '$A$' represent?",An observation or symptom ($o_i$).
What is 'heterogeneity' in the context of meta-analysis?,The variation in study results beyond what would be expected by sampling error alone.
What is 'meta-regression' used for?,To examine associations between study characteristics (covariates) and treatment effects.
What does a 'z-statistic' test in regression output?,The null hypothesis that a specific regression coefficient for a population parameter is zero.
What is the purpose of using 'indicator variables' (dummy variables) in regression?,To examine the effect of each level of a categorical exposure variable compared to a baseline group.
"In longitudinal studies, what does 'person-years-at-risk' ($pyar$) measure?",The total amount of time all individuals in the study were followed while being at risk of the outcome.
