The right of an individual to choose for himself or herself is the ethical principle of _____.,Autonomy
What concern arises from 'medicalisation' of a patient's residence through e-home care?,It can create ethical concerns regarding the privacy and perceived safety of the home environment.
"In the context of EHR hurdles, what does 'lack of standards' refer to?",The absence of a common vocabulary and technical interface for sharing data between institutions.
What is the risk of relying solely on automated decision support systems (DSS)?,They can contribute to mistakes if they provide meaningless information or are not tempered by clinical judgment.
How does 'Identity Theft' manifest as a risk in health informatics?,Unauthorised access to sensitive EHR data can lead to the fraudulent use of a patient's personal information.
What is the role of an 'Audit Trail' in electronic health records?,To track who accesses stored records and what specific changes are made to the data.
Term: Informed Consent,Definition: The process of ensuring a patient understands how their data will be used and disclosed before agreeing.
What is the primary security risk of 'unsecured terminals' in a hospital ward?,They allow unauthorised persons to view or modify sensitive patient records if left logged in.
What threat is posed by 'malicious insiders' in a health care organisation?,Employees with legitimate access privileges may intentionally leak or misuse patient data.
Term: Firewall failure,Definition: A network security incident where the hardware or software barrier fails to block unauthorised traffic.
What is the risk of using 'unencrypted transmissions' for telehealth data?,The data can be intercepted and read by unauthorised parties during transit over the internet.
Why is 'data warehousing' a target for high-level security threats?,It stores massive amounts of aggregated patient data from many different sources in one location.
What is the risk of 'misinterpretation' of e-health information by consumers?,"Patients may act on inaccurate online health advice, leading to potential physical harm."
Term: HIPAA Privacy Rule,Definition: Federal policies and guidelines in the US for managing and ensuring the security of confidential patient information.
How can 'unpredictable outcomes' occur during technology integration in critical care units?,"When systems developed for one context (e.g., medical-surgical) are applied to a different context (e.g., critical care)."
"The study of the ethical, social, and legal implications of health informatics is often abbreviated as _____.",ESLI
What is the primary risk of 'Bioterrorism' informatics databases?,The sensitive nature of the data makes them a high-value target for hackers or hostile entities.
"In the context of e-HDI, what is 'conflict of interest'?",A conflict between a person's private interests and their official responsibilities in a position of trust.
Term: Data Mining Ethics,Definition: The requirement to ensure patient data is de-identified and confidentiality is maintained during large-scale data analysis.
What is the risk of 'information overload' for clinicians using EHRs?,Vital patient alerts or data points may be missed due to the sheer volume of presented information.
What is 'VPN' (Virtual Private Network)?,"A technology that creates a secure, encrypted connection over a less secure network like the internet."
What is a 'Trojan horse' in the context of computer security?,Malicious code hidden within a seemingly legitimate or innocent file or programme.
What is the risk of 'patient-identifiable' data in research aggregates?,It increases the threat of privacy violation in cross-institutional and multi-provider environments.
Term: Data Encryption Standard (DES),Definition: A common type of encryption technology used to protect data during electronic exchange.
What is a 'Public-key cryptosystem'?,A security method using a pair of keys (public and private) to maintain data confidentiality and integrity.
What is the primary concern of 'Anonymity' in secondary health data use?,Ensuring that individual identities are protected when data is used for research or marketing.
How can 'firewall failure' occur in a health care network?,"Through software bugs, improper configuration, or an overwhelming external cyber-attack."
What is the risk of using 'unauthorised access' to medical records by staff?,"It violates institutional policy and federal law, leading to fines or termination of employment."
Term: Security Framework,Definition: A rigorous policy and technical structure designed to protect against unauthorised access to health data.
"What is the risk of 'loss of devices' (e.g., tablets or smartphones) in a clinical setting?",Unprotected patient data stored on the device may be accessed by unauthorised finders.
How does 'Network Security' impact the implementation of telemedicine?,Inadequate security can lead to the interception of private video consultations or patient data.
What is the risk of 'software safety issues' in physician order entry systems?,Technical glitches can cause medication errors that directly harm patients.
Term: Social Engineering,Definition: Tricking individuals into disclosing sensitive information or bypassing security protocols.
What is the risk of 'inconsistent data' in public health informatics?,It can lead to incorrect patterns being identified during disease surveillance.
What is the risk of 'handicapped information users' in e-communities?,They may face barriers to accessing specific life-saving health information due to poor interface design.
What is the security risk of 'shared care' (multi-provider) models?,"Information must flow across many independent, sometimes virtual, organisations with varying security levels."
Term: Data Loss Prevention (DLP),Definition: Tools designed to notify an organisation when a user shares sensitive files externally.
What is the primary risk of 'scalability challenges' in large e-communities?,The system may struggle to effectively organise and mining massive amounts of growing user data.
