"In survival analysis, what does the 'hazard' ($h(t)$) represent?",The instantaneous rate of the event occurring at time $t$.
"In the Cox model, what is the 'hazard ratio' at any time $t$ if $\beta_1$ is the log HR?",$\exp(\beta_1)$
What does a hazard ratio of 1.0 imply?,There is no difference in the instantaneous risk of the event between the groups being compared.
What is the term for a longitudinal study outcome where the time until the event occurs is the primary interest?,Time-to-event (or survival) data.
True or False: Cox regression assumes that the underlying baseline hazard $h_0(t)$ is constant over time.,False
What distinguishes 'multivariable' from 'multivariate' analysis in the strict statistical sense?,Multivariable refers to multiple exposure variables; multivariate refers to multiple outcome variables.
What is 'collinearity' in regression modelling?,A condition where two or more exposure variables are highly correlated with each other.
How does collinearity affect the interpretation of regression coefficients?,"It can make it appear that neither variable is associated with the outcome, even if both are strongly associated individually."
What is the 'link function' for Poisson and Cox regressions in generalized linear models?,The logarithmic function.
"In a Cox regression output table, what does the 'constant' term usually represent?",It is often omitted or corresponds to the log hazard in the baseline group if estimated.
What is the impact of measurement error on the observed regression coefficient in 'regression to the mean'?,The observed association between a change and the initial value will appear stronger than the true association.
Formula: The relationship between the hazard $h(t)$ and cumulative hazard $H(t)$ when the rate $\lambda$ is constant.,$H(t) = \lambda t$ and $h(t) = \lambda$.
"In survival curves, what is the Kaplan-Meier estimate of $S(t)$?",A step function that calculates survival probabilities at every time an event occurs.
What is the 'force of mortality'?,"Another term for the hazard rate, especially when the event of interest is death."
How can the survivor function be used to estimate the median survival time?,By finding the time $t$ at which $S(t) = 0.5$.
What is the 'Wald statistic' in the context of Cox regression output?,"The square of the $z$ statistic ($z = \text{coefficient} / \text{s.e.}$), which follows a $\chi^2$ distribution."
"In the formula for the standard error of the log HR ($s.e._{MC}$), what does $V$ represent?",The sum across strata of the variances of the number of exposed individuals experiencing the event.
What is the relationship between the log-rank test and the Mantel-Haenszel procedure?,The log-rank test is a special application of the Mantel-Haenszel procedure constructed for each time an event occurs.
What is the term for a variable that changes over time but is treated as a fixed value at the start of follow-up in simple models?,Baseline measurement.
How is 'right-censoring' typically handled in Cox regression risk sets?,"Censored individuals are included in all risk sets up to the point they are censored, after which they are removed."
"In the Cox model equation, what is the 'multiplicative factor' for the hazard of an exposed group ($x=1$) compared to unexposed ($x=0$)?",$\exp(\beta_1)$
What is the main limitation of using 'time since entry' as the time axis if age is a major factor in disease rate?,The model assumes that individuals of different ages have the same baseline hazard if they entered the study at the same time.
How is a dose-response relationship typically tested in a Cox model for an ordered categorical variable?,By fitting the exposure as a single numerical variable (test for trend).
What is the 'partial likelihood' (often called conditional likelihood) in Cox regression based on?,The rank order of event times rather than the exact times themselves.
"In Example 27.1, what was the hazard ratio for central cholestasis and how was it interpreted?",3.751; patients with central cholestasis had 3.751 times the hazard rate of those without it.
What happens to the hazard ratio if the proportional hazards assumption is violated and a single model is fitted?,"The model provides an 'average' hazard ratio over the follow-up period, which may be misleading."
Why is Cox regression preferred over Poisson regression when the hazard is expected to change rapidly over time?,"Cox regression does not require specifying the hazard's shape, whereas Poisson regression assumes it is constant in defined intervals."
What is the difference between cumulative incidence and the survivor function?,"Cumulative incidence is the probability of the event occurring ($1 - S(t)$), while the survivor function is the probability of the event not occurring ($S(t)$)."
What is a 'step function' in the context of survival analysis display?,"The Kaplan-Meier survival curve, where the survival probability only changes at the times when events occur."
What is 'person-time' (or person-years) in longitudinal studies?,The total of the individual periods of observation for all subjects in the study.
How is the rate ratio related to the hazard ratio in many medical studies?,They are often used interchangeably as the hazard ratio is the instantaneous version of the rate ratio.
What is the 'risk set' at time $t$ in a study of mortality?,All participants who are alive and still under observation at time $t$.
"In a Cox regression with multiple exposures, what does the coefficient for one variable represent?",The effect of that variable after controlling for the confounding effects of all other variables in the model.
"What does a hazard ratio significantly less than 1.0 (e.g., 0.70) indicate?","A protective effect of the exposure, reducing the instantaneous rate of the event."
